name,symbol,rank,price (USD),oneday (%),oneweek (%),marketcap (USD),volume (USD),circulating_supply (Crypto),full_marketcap (USD),max_supply (Crypto),oneday_low (USD),oneday_high (USD),volume_marketcap (%),market_dominance (%),onemonth_ROI (%),price_change (USD)
Bitcoin,1 BTC,1,"$20,414.69 ",1.34%,9.55%,"$394,316,882,491 ","$6,297,828,806 ","19,315,350 BTC","$428,671,110,000 ","21,000,000 BTC","$20,065.34 ","$20,535.46 ",0.02%,40.08%,-6.10%,$267.92 
Ethereum,2 ETH,2,"$1,460.98 ",1.90%,7.43%,"$178,785,770,748 ","$4,085,407,711 ","122,373,866 ETH","$178,752,729,804 ",,"$1,429.22 ","$1,477.38 ",0.02%,18.17%,-4.03%,$26.95 
Tether,3 USDT,3,$1.01 ,0.57%,0.73%,"$72,635,948,967 ","$12,863,544,876 ","72,116,708,665 USDT","$73,668,387,038 ",,$1 ,$1.01 ,0.18%,7.38%,,$0.01 
Binance Coin,4 BNB,4,$275.15 ,0.41%,4.37%,"$43,444,185,760 ","$279,219,432 ","157,892,734 BNB","$55,006,000,000 ","200,000,000 BNB",$271.60 ,$278.45 ,0.01%,4.41%,-10.72%,$0.99 
USD Coin,5 USDC,5,$0.96 ,3.09%,5.05%,"$38,927,636,057 ","$3,670,430,628 ","40,736,329,068 USDC","$38,915,415,158 ",,$0.93 ,$0.98 ,0.09%,3.96%,-4.38%,$0.03 
XRP,6 XRP,6,$0.36 ,1.63%,3.45%,"$18,133,429,918 ","$469,204,971 ","50,950,912,949 XRP","$35,580,000,000 ","100,000,000,000 XRP",$0.35 ,$0.37 ,0.03%,1.84%,-7.22%,($0.01)
Cardano,7 ADA,7,$0.30 ,0.56%,9.40%,"$10,564,718,680 ","$163,937,506 ","34,695,299,444 ADA","$13,698,000,000 ","45,000,000,000 ADA",$0.30 ,$0.31 ,0.02%,1.07%,-16.13%,$0.00 
OKB,8 OKB,8,$39.22 ,2.27%,19.26%,"$9,869,665,313 ","$24,323,188 ","251,627,612 OKB","$11,751,810,000 ","300,000,000 OKB",$38.30 ,$40.54 ,0.00%,1.00%,-4.96%,$0.81 
Polygon,9 MATIC,9,$1.09 ,6.96%,4.83%,"$9,640,321,130 ","$316,060,153 ","8,868,740,690 MATIC","$10,853,000,000 ","10,000,000,000 MATIC",$1.01 ,$1.09 ,0.03%,0.98%,-12.94%,$0.07 
Dogecoin,10 DOGE,10,$0.07 ,1.64%,12.27%,"$8,737,696,536 ","$140,772,517 ","132,670,764,300 DOGE","$8,735,839,146 ",,$0.06 ,$0.07 ,0.02%,0.89%,-19.92%,$0.00 
Binance USD,11 BUSD,11,$1.00 ,0.08%,0.55%,"$8,335,719,552 ","$3,320,019,240 ","8,375,923,988 BUSD","$8,334,881,960 ",,$0.99 ,$1.00 ,0.40%,0.85%,-0.49%,$0.00 
Polkadot,12 DOT,12,$5.42 ,2.19%,10.16%,"$6,953,886,443 ","$107,103,953 ","1,283,028,551 DOT","$7,000,318,632 ",,$5.25 ,$5.51 ,0.02%,0.71%,-13.07%,$0.11 
Solana,13 SOL,13,$17.97 ,3.38%,14.77%,"$6,885,098,393 ","$264,997,907 ","383,077,955 SOL","$9,687,242,669 ",,$17.12 ,$18.28 ,0.04%,0.70%,-12.56%,$0.57 
Dai,14 DAI,14,$0.97 ,1.54%,3.47%,"$6,276,304,200 ","$239,704,946 ","6,493,848,112 DAI","$6,265,744,116 ",,$0.95 ,$0.99 ,0.04%,0.64%,-3.46%,$0.01 
Shiba Inu,15 SHIB,15,$0.00 ,1.20%,9.39%,"$5,973,272,481 ","$118,616,345 ","589,661,646,694,426 SHIB","$10,130,000,000 ","1,000,000,000,000,000 SHIB",$0.00 ,$0.00 ,0.02%,0.61%,-20.72%,$0.00 
Wrapped Bitcoin,16 WBTC,16,"$20,757.72 ",0.10%,7.90%,"$5,918,109,002 ","$84,206,050 ","285,104 WBTC","$5,914,682,052 ",,"$20,590.28 ","$20,843.62 ",0.01%,0.60%,-4.38%,$4.15 
TRON,17 TRX,17,$0.06 ,5.51%,12.50%,"$5,417,870,502 ","$151,677,775 ","91,590,798,476 TRX","$5,404,868,906 ",,$0.06 ,$0.06 ,0.03%,0.55%,-7.25%,$0.00 
Litecoin,18 LTC,18,$68.26 ,1.60%,23.28%,"$4,946,582,570 ","$366,529,772 ","72,465,827 LTC","$5,732,059,200 ","84,000,000 LTC",$66.82 ,$69.82 ,0.07%,0.50%,-27.31%,$1.11 
