name,symbol,rank,price (USD),oneday (%),oneweek (%),marketcap (USD),volume (USD),circulating_supply (Crypto),full_marketcap (USD),max_supply (Crypto),oneday_low (USD),oneday_high (USD),volume_marketcap (%),market_dominance (%),onemonth_ROI (%),price_change (USD)
Bitcoin,BTC,1,20414.69,1.34,9.55,394316882491.0,6297828806.0,19315350.0,428671110000.0,21000000.0,20065.34,20535.46,0.02,40.08,-6.1,267.92
Ethereum,ETH,2,1460.98,1.9,7.43,178785770748.0,4085407711.0,122373866.0,178752729804.0,,1429.22,1477.38,0.02,18.17,-4.03,26.95
Tether,USDT,3,1.01,0.57,0.73,72635948967.0,12863544876.0,72116708665.0,73668387038.0,,1.0,1.01,0.18,7.38,,0.01
BinanceCoin,BNB,4,275.15,0.41,4.37,43444185760.0,279219432.0,157892734.0,55006000000.0,200000000.0,271.6,278.45,0.01,4.41,-10.72,0.99
USDCoin,USDC,5,0.96,3.09,5.05,38927636057.0,3670430628.0,40736329068.0,38915415158.0,,0.93,0.98,0.09,3.96,-4.38,0.03
XRP,XRP,6,0.36,1.63,3.45,18133429918.0,469204971.0,50950912949.0,35580000000.0,100000000000.0,0.35,0.37,0.03,1.84,-7.22,(0.01)
Cardano,ADA,7,0.3,0.56,9.4,10564718680.0,163937506.0,34695299444.0,13698000000.0,45000000000.0,0.3,0.31,0.02,1.07,-16.13,0.00
OKB,OKB,8,39.22,2.27,19.26,9869665313.0,24323188.0,251627612.0,11751810000.0,300000000.0,38.3,40.54,0.0,1.0,-4.96,0.81
Polygon,MATIC,9,1.09,6.96,4.83,9640321130.0,316060153.0,8868740690.0,10853000000.0,10000000000.0,1.01,1.09,0.03,0.98,-12.94,0.07
Dogecoin,DOGE,10,0.07,1.64,12.27,8737696536.0,140772517.0,132670764300.0,8735839146.0,,0.06,0.07,0.02,0.89,-19.92,0.00
BinanceUSD,BUSD,11,1.0,0.08,0.55,8335719552.0,3320019240.0,8375923988.0,8334881960.0,,0.99,1.0,0.4,0.85,-0.49,0.00
Polkadot,DOT,12,5.42,2.19,10.16,6953886443.0,107103953.0,1283028551.0,7000318632.0,,5.25,5.51,0.02,0.71,-13.07,0.11
Solana,SOL,13,17.97,3.38,14.77,6885098393.0,264997907.0,383077955.0,9687242669.0,,17.12,18.28,0.04,0.7,-12.56,0.57
Dai,DAI,14,0.97,1.54,3.47,6276304200.0,239704946.0,6493848112.0,6265744116.0,,0.95,0.99,0.04,0.64,-3.46,0.01
ShibaInu,SHIB,15,0.0,1.2,9.39,5973272481.0,118616345.0,589661646694426.0,10130000000.0,1000000000000000.0,0.0,0.0,0.02,0.61,-20.72,0.00
