exchange_id,ticker_id,exchange_token_balance (cryptocurrency),exchange_value (USD),one_day_change (cryptocurrency),seven_day_change (cryptocurrency),thirty_day_change (cryptocurrency)
1,10001,421388,12835455120,-7270.97,4391.07,51783.36
2,10001,200979,6121802409,-587.35,6746.14,7061.8
3,10001,197720,6022552347,1308.95,-9630.41,-38164.24
4,10001,39552.65,1204769110,-97.58,-297.11,-441.09
5,10001,30279.07,922297004,-157.83,242.44,-11857.04
6,10001,27020.73,823048245,268.7,-694.24,-305.27
7,10001,21405.4,652005934,-370.4,-1315.02,-4382.16
8,10001,17128.06,521718926,0,-0.019,-139.57
9,10001,17125.12,521629124,-27.5,-57.29,93.69
10,10001,14684.44,447286567,-460.23,-783.13,-517.71
11,10001,14143.12,430797866,0,0,0
12,10001,8465.77,257866465,121.84,219.58,0
13,10001,7576.53,230780394,189.22,356.74,1400.54
14,10001,5960.15,181545623,0,0,0
15,10001,3377.58,102880904,-122.69,-120.01,-229.75
16,10001,2070.22,63058893,0,38.47,152.09
17,10001,1750.02,53305399,0,0,-200
18,10001,1419.32,43232480,2,-15,-42.55
19,10001,720.32,21941076,0,0,0
20,10001,527.03,16053301,0,0,-1513
21,10001,300,9138257,0,0,0
22,10001,69.25,2109513,0,0,0
23,10001,16.85,513435,-2.931,-2.888,1.843
24,10001,9.514,289808,0,0,0
25,10001,4.82,146823,0,0,0
26,10001,0.05544,1688.62,0,0,0
27,10001,0.01396,425.33,0,0,0
28,10001,0.001937,59,0,0,0
29,10001,0,0,0,0,0
30,10001,0,0,0,0,0
1,10002,4651380,9801389298,56465.48,31737.1,294804
13,10002,1827423,3850745870,2867.41,11420.78,-46919.99
3,10002,1221581,2574116023,8749.74,-3964.91,13811.48
2,10002,1212175,2554296585,-35263.19,-41692.02,41425.34
31,10002,424635,894792355,2220.77,-634.29,-47235.8
5,10002,289838,610748439,344.38,-6780.77,-226741
32,10002,200014,421470303,0,0,-3.001
6,10002,166788,351456590,6267.91,12623.13,6318.45
33,10002,154253,325042414,-1717.14,-5651.11,-15478.19
10,10002,148820,313594384,1176.81,258,681.08
7,10002,124955,263306087,-3454.61,-11389.08,-24936.16
34,10002,91002.94,191761403,-982.65,-1642.98,-2158.76
8,10002,86417.9,182099812,-7.498,-23.34,-10313.52
35,10002,74321.63,156610548,-1105,-860,-5355
36,10002,72064.22,151853730,-376.59,-176.18,-1771.82
14,10002,57516.63,121199045,-650.38,-662.78,-2033.25
37,10002,29610.77,62395816,1259.48,274.63,-2117.93
38,10002,17137.03,36111155,-1.513,-1.887,-10.32
12,10002,15554.5,32776449,100.12,655.19,1118.44
27,10002,15085.56,31788305,-9588.24,-9932.91,1740.61
39,10002,14392.89,30328701,-30.44,-776.11,-1103.19
11,10002,13055.71,27511006,382.42,752.84,253.72
16,10002,13000.79,27395283,-196.09,675.08,-1254.47
9,10002,11012.88,23206341,-454.27,-391.09,-3411.39
40,10002,10025.23,21125179,-128.87,-60.34,1996.99
21,10002,10001.08,21074288,0,0,0
18,10002,8923.86,18804370,-12.24,-12.27,-68.07
41,10002,5729.62,12073465,-353.57,-354.67,-1137.4
17,10002,5572.6,11742591,0,0,3499.99
15,10002,4046.57,8526950,-1.481,-432.13,-808.33
1,10003,2703092503,2704173740,-103723060,185334388,14742633
3,10003,1584032065,1584665678,21313474,121750683,726522161
6,10003,948738131,949117626,-17900069,-34434988,47489972
10,10003,608805664,609049186,-7468798,5120233,47218663
16,10003,379755841,379907743,8205738,16292226,88840271
2,10003,293028302,293145514,-39135606,-184656077,-479715894
33,10003,201809520,201890244,-3541274,-2376392,18161094
12,10003,179867851,179939799,1112343,1671992,437782
8,10003,153096988,153158227,10640214,34453152,48476126
11,10003,141023221,141079630,-1265444,-2975818,4774962
5,10003,102492222,102533219,-8758149,19867352,28404502
7,10003,82345046,82377984,2018,10683.84,-8934099
42,10003,70702325,70730606,4328392,-14366826,28756476
17,10003,46650075,46668735,0,0,-1000000
9,10003,26559267,26569891,-2585.84,599112,-1086151
36,10003,23932677,23942250,5615248,-11062049,1285449
27,10003,14532249,14538062,-10753414,-383189,-1827881
43,10003,11330007,11334539,33466.58,322662,-275179
41,10003,11074688,11079118,1303500,2366457,2323693
40,10003,5941017,5943394,-75133.07,22532.08,249274
44,10003,4830402,4832334,305255,184862,433381
18,10003,3332901,3334234,39185.56,130113,12101.43
45,10003,3319504,3320832,316812,2021448,-6194170
46,10003,3277399,3278710,0,0,0
21,10003,3072757,3073986,1009,5341.92,32950.38
31,10003,3039098,3040313,364493,-2204226,-240237
25,10003,3034132,3035346,304380,466113,2236661
32,10003,2984758,2985952,13117,69444.98,428355
47,10003,2592809,2593846,-189387,-696494,-8474993
15,10003,2207734,2208617,48676.86,25673.62,457103
1,10004,21268.56,7007352,2.605,14.43,12030.85
36,10004,2113.08,696199,0.4487,1.486,1375.92
33,10004,1228.67,404809,0,0,0
5,10004,116.87,38506.81,0,0,0
48,10004,73.09,24081.85,0,0,0
38,10004,25.22,8309.06,0,0,0
10,10004,5.393,1776.95,0,0,0
8,10004,2.1,691.88,0,0,0
49,10004,2,658.95,0,0,0
41,10004,2,658.94,0,0,0
47,10004,0.8132,267.95,0,0,0
14,10004,0.7,230.62,0,0,0
44,10004,0.3665,120.78,0,0,0
