exchange_id,ticker_id,exchange_token_balance (cryptocurrency),exchange_value (USD),one_day_change (cryptocurrency),seven_day_change (cryptocurrency),thirty_day_change (cryptocurrency)
1,10001,421388.0,12835455120.0,-7270.97,4391.07,51783.36
2,10001,200979.0,6121802409.0,-587.35,6746.14,7061.8
3,10001,197720.0,6022552347.0,1308.95,-9630.41,-38164.24
4,10001,39552.65,1204769110.0,-97.58,-297.11,-441.09
5,10001,30279.07,922297004.0,-157.83,242.44,-11857.04
6,10001,27020.73,823048245.0,268.7,-694.24,-305.27
7,10001,21405.4,652005934.0,-370.4,-1315.02,-4382.16
8,10001,17128.06,521718926.0,0.0,-0.019,-139.57
9,10001,17125.12,521629124.0,-27.5,-57.29,93.69
10,10001,14684.44,447286567.0,-460.23,-783.13,-517.71
11,10001,14143.12,430797866.0,0.0,0.0,0.0
12,10001,8465.77,257866465.0,121.84,219.58,0.0
13,10001,7576.53,230780394.0,189.22,356.74,1400.54
14,10001,5960.15,181545623.0,0.0,0.0,0.0
15,10001,3377.58,102880904.0,-122.69,-120.01,-229.75
16,10001,2070.22,63058893.0,0.0,38.47,152.09
17,10001,1750.02,53305399.0,0.0,0.0,-200.0
18,10001,1419.32,43232480.0,2.0,-15.0,-42.55
19,10001,720.32,21941076.0,0.0,0.0,0.0
20,10001,527.03,16053301.0,0.0,0.0,-1513.0
21,10001,300.0,9138257.0,0.0,0.0,0.0
22,10001,69.25,2109513.0,0.0,0.0,0.0
23,10001,16.85,513435.0,-2.931,-2.888,1.843
24,10001,9.514,289808.0,0.0,0.0,0.0
25,10001,4.82,146823.0,0.0,0.0,0.0
26,10001,0.05544,1688.62,0.0,0.0,0.0
27,10001,0.01396,425.33,0.0,0.0,0.0
28,10001,0.001937,59.0,0.0,0.0,0.0
29,10001,0.0,0.0,0.0,0.0,0.0
30,10001,0.0,0.0,0.0,0.0,0.0
1,10002,4651380.0,9801389298.0,56465.48,31737.1,294804.0
13,10002,1827423.0,3850745870.0,2867.41,11420.78,-46919.99
3,10002,1221581.0,2574116023.0,8749.74,-3964.91,13811.48
2,10002,1212175.0,2554296585.0,-35263.19,-41692.02,41425.34
31,10002,424635.0,894792355.0,2220.77,-634.29,-47235.8
5,10002,289838.0,610748439.0,344.38,-6780.77,-226741.0
32,10002,200014.0,421470303.0,0.0,0.0,-3.001
6,10002,166788.0,351456590.0,6267.91,12623.13,6318.45
33,10002,154253.0,325042414.0,-1717.14,-5651.11,-15478.19
10,10002,148820.0,313594384.0,1176.81,258.0,681.08
7,10002,124955.0,263306087.0,-3454.61,-11389.08,-24936.16
34,10002,91002.94,191761403.0,-982.65,-1642.98,-2158.76
8,10002,86417.9,182099812.0,-7.498,-23.34,-10313.52
35,10002,74321.63,156610548.0,-1105.0,-860.0,-5355.0
36,10002,72064.22,151853730.0,-376.59,-176.18,-1771.82
14,10002,57516.63,121199045.0,-650.38,-662.78,-2033.25
37,10002,29610.77,62395816.0,1259.48,274.63,-2117.93
38,10002,17137.03,36111155.0,-1.513,-1.887,-10.32
12,10002,15554.5,32776449.0,100.12,655.19,1118.44
27,10002,15085.56,31788305.0,-9588.24,-9932.91,1740.61
39,10002,14392.89,30328701.0,-30.44,-776.11,-1103.19
11,10002,13055.71,27511006.0,382.42,752.84,253.72
16,10002,13000.79,27395283.0,-196.09,675.08,-1254.47
9,10002,11012.88,23206341.0,-454.27,-391.09,-3411.39
40,10002,10025.23,21125179.0,-128.87,-60.34,1996.99
21,10002,10001.08,21074288.0,0.0,0.0,0.0
18,10002,8923.86,18804370.0,-12.24,-12.27,-68.07
41,10002,5729.62,12073465.0,-353.57,-354.67,-1137.4
17,10002,5572.6,11742591.0,0.0,0.0,3499.99
15,10002,4046.57,8526950.0,-1.481,-432.13,-808.33
1,10003,2703092503.0,2704173740.0,-103723060.0,185334388.0,14742633.0
3,10003,1584032065.0,1584665678.0,21313474.0,121750683.0,726522161.0
6,10003,948738131.0,949117626.0,-17900069.0,-34434988.0,47489972.0
10,10003,608805664.0,609049186.0,-7468798.0,5120233.0,47218663.0
16,10003,379755841.0,379907743.0,8205738.0,16292226.0,88840271.0
2,10003,293028302.0,293145514.0,-39135606.0,-184656077.0,-479715894.0
33,10003,201809520.0,201890244.0,-3541274.0,-2376392.0,18161094.0
12,10003,179867851.0,179939799.0,1112343.0,1671992.0,437782.0
8,10003,153096988.0,153158227.0,10640214.0,34453152.0,48476126.0
11,10003,141023221.0,141079630.0,-1265444.0,-2975818.0,4774962.0
5,10003,102492222.0,102533219.0,-8758149.0,19867352.0,28404502.0
7,10003,82345046.0,82377984.0,2018.0,10683.84,-8934099.0
42,10003,70702325.0,70730606.0,4328392.0,-14366826.0,28756476.0
17,10003,46650075.0,46668735.0,0.0,0.0,-1000000.0
9,10003,26559267.0,26569891.0,-2585.84,599112.0,-1086151.0
36,10003,23932677.0,23942250.0,5615248.0,-11062049.0,1285449.0
27,10003,14532249.0,14538062.0,-10753414.0,-383189.0,-1827881.0
43,10003,11330007.0,11334539.0,33466.58,322662.0,-275179.0
41,10003,11074688.0,11079118.0,1303500.0,2366457.0,2323693.0
40,10003,5941017.0,5943394.0,-75133.07,22532.08,249274.0
44,10003,4830402.0,4832334.0,305255.0,184862.0,433381.0
18,10003,3332901.0,3334234.0,39185.56,130113.0,12101.43
45,10003,3319504.0,3320832.0,316812.0,2021448.0,-6194170.0
46,10003,3277399.0,3278710.0,0.0,0.0,0.0
21,10003,3072757.0,3073986.0,1009.0,5341.92,32950.38
31,10003,3039098.0,3040313.0,364493.0,-2204226.0,-240237.0
25,10003,3034132.0,3035346.0,304380.0,466113.0,2236661.0
32,10003,2984758.0,2985952.0,13117.0,69444.98,428355.0
47,10003,2592809.0,2593846.0,-189387.0,-696494.0,-8474993.0
15,10003,2207734.0,2208617.0,48676.86,25673.62,457103.0
1,10004,21268.56,7007352.0,2.605,14.43,12030.85
36,10004,2113.08,696199.0,0.4487,1.486,1375.92
33,10004,1228.67,404809.0,0.0,0.0,0.0
5,10004,116.87,38506.81,0.0,0.0,0.0
48,10004,73.09,24081.85,0.0,0.0,0.0
38,10004,25.22,8309.06,0.0,0.0,0.0
10,10004,5.393,1776.95,0.0,0.0,0.0
8,10004,2.1,691.88,0.0,0.0,0.0
49,10004,2.0,658.95,0.0,0.0,0.0
41,10004,2.0,658.94,0.0,0.0,0.0
47,10004,0.8132,267.95,0.0,0.0,0.0
14,10004,0.7,230.62,0.0,0.0,0.0
44,10004,0.3665,120.78,0.0,0.0,0.0
30,10004,0.1615,53.23,0.0,0.0,0.0
2,10004,0.15,49.42,0.0,0.0,0.0
13,10004,0.15,49.42,0.0,0.0,0.0
3,10004,0.15,49.42,0.0,0.0,0.0
9,10004,0.15,49.42,0.0,0.0,0.0
27,10004,0.103,33.93,0.0,0.0,0.0
16,10004,0.0501,16.5,0.0,0.0,0.0
25,10004,0.01628,5.36,0.0,0.0,0.0
50,10004,0.000595,0.2,0.0,0.0,0.0
51,10004,0.000583,0.19,0.0,0.0,0.0
15,10004,9e-08,0.0,0.0,0.0,0.0
52,10004,0.0,0.0,0.0,0.0,0.0
1,10005,1702022326.0,1700490506.0,-101380992.0,-50025132.0,-3413324318.0
5,10005,320821962.0,320533222.0,-21948888.0,-26317303.0,-388209681.0
27,10005,272204574.0,271959590.0,241150420.0,60626822.0,9457104.0
13,10005,173675022.0,173518714.0,-4792993.0,-1332716.0,40291946.0
3,10005,146447433.0,146315630.0,-20055650.0,34676815.0,-214155149.0
10,10005,68219503.0,68158106.0,-2562176.0,-2064699.0,-52236218.0
12,10005,45185876.0,45145208.0,-281837.0,-1439491.0,-6000961.0
16,10005,43836988.0,43797535.0,-187855.0,8105352.0,2261338.0
8,10005,21699388.0,21679858.0,1357755.0,2740384.0,-87051648.0
2,10005,21295193.0,21276027.0,363834.0,1424659.0,2937138.0
6,10005,15330807.0,15317009.0,-15050064.0,-13592571.0,-30193705.0
42,10005,9152359.0,9144122.0,-143731.0,-8116550.0,-4958801.0
36,10005,6450774.0,6444968.0,1356672.0,-4883210.0,-421949.0
31,10005,5972947.0,5967571.0,-1932552.0,-3348026.0,-14488162.0
43,10005,5607542.0,5602495.0,-31505.04,1628505.0,-13215254.0
9,10005,4289316.0,4285456.0,-60448.22,-175186.0,-1567927.0
17,10005,3326581.0,3323587.0,0.0,0.0,-2000000.0
44,10005,1542205.0,1540817.0,17869.46,775695.0,23847.67
41,10005,1148884.0,1147850.0,12629.56,21574.53,50299.47
53,10005,993838.0,992943.0,-573761.0,-503226.0,-3437290.0
45,10005,956296.0,955436.0,762199.0,839963.0,491691.0
46,10005,881393.0,880600.0,0.0,0.0,0.0
54,10005,563804.0,563296.0,-60699.12,-541865.0,75731.55
55,10005,474555.0,474128.0,-212.81,17381.11,231298.0
24,10005,428220.0,427835.0,-946878.0,-946878.0,0.0
56,10005,423480.0,423099.0,-69.72,2488.78,-485225.0
14,10005,337718.0,337414.0,-5861.76,38440.66,-55010.81
33,10005,290740.0,290479.0,8727.51,16077.72,-37355492.0
50,10005,177940.0,177780.0,-241.01,-12056.07,-15886.48
57,10005,172267.0,172112.0,0.0,4130.0,4130.0
1,10006,103976086.0,54670626.0,-12133.07,-281328.0,4936652.0
33,10006,7877.06,4141.75,0.0,0.0,0.0
1,10007,30189916.0,13268468.0,1710251.0,1785747.0,5466985.0
33,10007,8735.65,3839.31,0.0,0.0,-115.11
1,10010,133568520.0,11875042.0,5092450.0,24963809.0,54837678.0
16,10010,4284116.0,380883.0,1747592.0,3761339.0,555141.0
33,10010,145300.0,12918.11,0.0,-6416.64,-8470.87
3,10008,8114711.0,387955415.0,-662.06,718.86,3600015.0
33,10008,29380.7,1404659.0,695.38,692.35,2569.78
41,10008,6791.2,324679.0,0.0,0.0,-5.045
50,10008,4929.71,235684.0,0.0,0.0,0.0
2,10008,4637.72,221724.0,0.0,0.0,0.0
44,10008,2411.65,115298.0,0.0,0.0,0.0
9,10008,521.61,24937.91,0.0,0.0,0.0
16,10008,496.93,23757.97,-0.8407,5.538,-280.77
56,10008,288.89,13811.92,0.0,0.0,0.0
8,10008,210.8,10078.35,0.0,6.399,6.399
57,10008,0.2011,9.62,0.0,0.0,0.0
58,10008,2e-08,0.0,0.0,0.0,0.0
59,10008,0.0,0.0,0.0,0.0,0.0
47,10008,0.0,0.0,0.0,0.0,0.0
60,10008,0.0,0.0,0.0,0.0,0.0
1,10009,395614041.0,460969481.0,-10567288.0,70373388.0,104426856.0
10,10009,24901876.0,29015666.0,410917.0,1524474.0,122368.0
5,10009,24639076.0,28709451.0,57026.91,61562.74,-73958514.0
2,10009,17516206.0,20409883.0,-375722.0,-1601349.0,-3044012.0
36,10009,8823071.0,10280642.0,-219363.0,-282495.0,-5845728.0
3,10009,7952266.0,9265981.0,2668090.0,3982006.0,3956253.0
6,10009,6628255.0,7723243.0,373390.0,593482.0,-42686.62
31,10009,5187935.0,6044982.0,-96122.57,-477514.0,32579.53
18,10009,5183509.0,6039824.0,0.0,1e-10,-98381.75
13,10009,5000059.0,5826068.0,0.0,-5e-10,-5e-10
27,10009,3039362.0,3541464.0,-1026257.0,-795210.0,489593.0
33,10009,2531412.0,2949601.0,321452.0,483596.0,-676969.0
8,10009,2438308.0,2841117.0,-162044.0,-310825.0,-1099500.0
35,10009,2187842.0,2549273.0,-21767.0,34735.0,225721.0
9,10009,1830496.0,2132894.0,-945.05,-28784.04,-15671.97
41,10009,1533673.0,1787036.0,-45215.7,-15745.76,200899.0
16,10009,1235191.0,1439245.0,-372468.0,-315795.0,-96322.44
50,10009,567627.0,661400.0,0.0,0.0,-534.5
43,10009,369340.0,430355.0,-266.46,-2975.89,77997.02
56,10009,266187.0,310161.0,0.0,0.0,21.47
44,10009,260156.0,303134.0,18979.29,24036.61,134937.0
12,10009,137104.0,159753.0,18017.27,36663.32,37445.96
38,10009,95609.42,111404.0,0.0,0.0,0.0
47,10009,93152.52,108541.0,1093.19,1417.97,22002.24
54,10009,35924.19,41858.87,1940.11,-313135.0,30517.92
61,10009,26395.85,30756.45,-75986.8,-78465.17,-96628.54
53,10009,24832.41,28934.73,-25100.11,-34151.4,-15662.93
62,10009,10000.0,11652.0,0.0,0.0,0.0
45,10009,7405.45,8628.83,6017.37,4875.69,2363.51
14,10009,6136.1,7149.78,0.0,0.0,0.0
63,10013,,,,,
1,10012,8202856.0,55351233.0,11107.18,-10335.55,58817.05
33,10012,830.81,5606.2,0.0,0.0,0.0
1,10018,320685.0,30981955.0,299.76,325.68,2877.26
33,10018,50.04,4834.89,0.0,0.0,0.0
1,10011,6108344515.0,6112620356.0,-72847730.0,-1122765042.0,-2228719991.0
12,10011,9298679.0,9305189.0,1055.21,51049.35,5156312.0
36,10011,6724680.0,6729388.0,2337.89,60024.56,-1406847.0
6,10011,3556274.0,3558764.0,120527.0,227659.0,-782644.0
10,10011,3372443.0,3374804.0,115232.0,144538.0,-409153.0
27,10011,1195528.0,1196365.0,2877.67,11363.76,19839.65
5,10011,510559.0,510917.0,202.27,460.99,-2805195.0
16,10011,373637.0,373898.0,97041.14,22613.6,97087.72
9,10011,286368.0,286569.0,-10001.71,-8815.64,-11990.81
31,10011,220485.0,220640.0,1812.79,1144.53,-110208.0
50,10011,36958.3,36984.17,0.0,0.0,0.0
43,10011,32369.4,32392.06,0.0,0.0,0.0
61,10011,22317.5,22333.12,0.0,11048.24,-17791.66
3,10011,17064.05,17075.99,0.0,0.0,0.0
44,10011,15987.99,15999.19,4996.0,4996.0,4957.15
53,10011,4544.33,4547.51,0.0,-148.0,-91756.32
33,10011,1466.76,1467.79,-5012689.0,-22687325.0,-595745.0
64,10011,205.0,205.14,0.0,0.0,0.0
13,10011,49.72,49.76,0.0,0.0,0.0
57,10011,2.402,2.4,0.0,0.0,0.0
11,10011,0.1274,0.13,0.0,0.0,0.0
58,10011,2e-08,0.0,0.0,0.0,0.0
65,10011,0.0,0.0,0.0,0.0,0.0
60,10011,0.0,0.0,0.0,0.0,0.0
66,10011,0.0,0.0,0.0,0.0,0.0
1,10015,87100000000000.0,982949719.0,113000000000.0,259000000000.0,1120000000000.0
3,10015,11000000000000.0,123896262.0,150000000000.0,95037330639.0,931000000000.0
5,10015,9380000000000.0,105893167.0,-52664538204.0,-155000000000.0,-45400000000000.0
33,10015,6300000000000.0,71095498.0,7967307865.0,25877618897.0,40708146878.0
10,10015,4500000000000.0,50786724.0,-26517190537.0,1732110716.0,5712055597.0
36,10015,3340000000000.0,37727599.0,-6415094663.0,6242866591.0,-85177170147.0
8,10015,1810000000000.0,20470329.0,0.0,0.0,-3258928588.0
41,10015,1130000000000.0,12776410.0,-5091649284.0,-1211070337.0,-13741770906.0
18,10015,951000000000.0,10739471.0,0.0,-921160349.0,-921160349.0
6,10015,736000000000.0,8306987.0,5674262737.0,26520655590.0,211000000000.0
27,10015,599000000000.0,6761426.0,-5293842170.0,46034577932.0,140000000000.0
9,10015,589000000000.0,6654441.0,-19247383.0,-2189546368.0,-2704821761.0
31,10015,340000000000.0,3838944.0,-2235731029.0,5423898655.0,8431113029.0
35,10015,240000000000.0,2706659.0,3186979596.0,51885797409.0,0.0
14,10015,148000000000.0,1675341.0,-770923396.0,-1595449082.0,-6282900620.0
50,10015,115000000000.0,1300074.0,-235500000.0,-6656789694.0,-53280042431.0
