TICKER_ID,PRICE_USD,ONE_DAY_CHANGE_PERCENT,SEVEN_DAY_CHANGE_PERCENT,MARKET_CAP_USD,VOLUME_USD,CIRCULATING_SUPPLY,FULL_MARKET_CAP_USD,MAX_SUPPLY,ONE_DAY_LOW_USD,ONE_DAY_HIGH_USD,VOLUME_MARKET_CAP_PERCENT,MARKET_DOMINANCE_PERCENT,ONE_MONTH_ROI_PERCENT,PRICE_CHANGE_USD
10001,20414.69,1.34,9.55,3.94317E+11,6297828806,19315350,4.28671E+11,21000000,20065.34,20535.46,0.02,40.08,-6.1,267.92
10002,1460.98,1.9,7.43,1.78786E+11,4085407711,122373866,1.78753E+11,,1429.22,1477.38,0.02,18.17,-4.03,26.95
10003,1.01,0.57,0.73,72635948967,12863544876,72116708665,73668387038,,1,1.01,0.18,7.38,,0.01
10004,275.15,0.41,4.37,43444185760,279219432,157892734,55006000000,200000000,271.6,278.45,0.01,4.41,-10.72,0.99
10005,0.96,3.09,5.05,38927636057,3670430628,40736329068,38915415158,,0.93,0.98,0.09,3.96,-4.38,0.03
10006,0.36,1.63,3.45,18133429918,469204971,50950912949,35580000000,1E+11,0.35,0.37,0.03,1.84,-7.22,-0.01
10007,0.3,0.56,9.4,10564718680,163937506,34695299444,13698000000,45000000000,0.3,0.31,0.02,1.07,-16.13,0
10008,39.22,2.27,19.26,9869665313,24323188,251627612,11751810000,300000000,38.3,40.54,0,1,-4.96,0.81
10009,1.09,6.96,4.83,9640321130,316060153,8868740690,10853000000,10000000000,1.01,1.09,0.03,0.98,-12.94,0.07
10010,0.07,1.64,12.27,8737696536,140772517,1.32671E+11,8735839146,,0.06,0.07,0.02,0.89,-19.92,0
10011,1,0.08,0.55,8335719552,3320019240,8375923988,8334881960,,0.99,1,0.4,0.85,-0.49,0
10012,5.42,2.19,10.16,6953886443,107103953,1283028551,7000318632,,5.25,5.51,0.02,0.71,-13.07,0.11
10013,17.97,3.38,14.77,6885098393,264997907,383077955,9687242669,,17.12,18.28,0.04,0.7,-12.56,0.57
10014,0.97,1.54,3.47,6276304200,239704946,6493848112,6265744116,,0.95,0.99,0.04,0.64,-3.46,0.01
10015,0,1.2,9.39,5973272481,118616345,5.89662E+14,10130000000,1E+15,0,0,0.02,0.61,-20.72,0
10016,20757.72,0.1,7.9,5918109002,84206050,285104,5914682052,,20590.28,20843.62,0.01,0.6,-4.38,4.15
10017,0.06,5.51,12.5,5417870502,151677775,91590798476,5404868906,,0.06,0.06,0.03,0.55,-7.25,0
