wallet_id,currency_quantity (cryptocurrency),fraction_of_total (%),seven_day_change (cryptocurrency)
100001,248597.0,1.18,0.0
100002,178010.0,0.85,-20000.0
100003,127351.0,0.61,0.0
100004,119347.0,0.57,0.0
100005,94643.0,0.45,0.0
100006,94505.0,0.45,0.0
100007,79957.0,0.38,0.0
100008,69370.0,0.33,0.0
100009,68200.0,0.32,0.0
100010,59300.0,0.28,0.0
100011,55863.0,0.27,1379.0
100012,53880.0,0.26,0.0
100013,53492.0,0.25,15915.0
100014,51830.0,0.25,0.0
100015,44000.0,0.21,0.0
100016,40141.0,0.19,0.0
100017,39834.0,0.19,-45.0
100018,37927.0,0.18,0.0
100019,36000.0,0.17,0.0
100020,33218.0,0.16,0.0
100021,32321.0,0.15,0.0
100022,31643.0,0.15,0.0
100023,31275.0,0.15,0.0
100024,31067.0,0.15,0.0
100025,31000.0,0.15,0.0
100026,30175.0,0.14,0.0
100027,28151.0,0.13,0.0
100028,25640.0,0.12,0.0
100029,24495.0,0.12,0.0
100030,24043.0,0.11,0.0
100031,23969.0,0.11,0.0
100032,23214.0,0.11,318.0
100033,22934.0,0.11,0.0
100034,22900.0,0.11,0.0
100035,21042.0,0.1,0.0
100036,20521.0,0.1,-535.0
100037,20480.0,0.1,0.0
100038,20061.0,0.1,-1.0
100039,20008.0,0.1,0.0
100040,19950.0,0.1,0.0
100041,19414.0,0.09,0.0
100042,19119.0,0.09,529.0
100043,19035.0,0.09,0.0
100044,18500.0,0.09,0.0
100045,18315.0,0.09,0.0
100046,17702.0,0.08,-5700.0
100047,17352.0,0.08,-6354.0
100048,17254.0,0.08,0.0
100049,17225.0,0.08,0.0
100050,16786.0,0.08,0.0
100051,16307.0,0.08,0.0
100052,16277.0,0.08,0.0
100053,15746.0,0.07,0.0
100054,15146.0,0.07,6.0
100055,14510.0,0.07,0.0
100056,14143.0,0.07,0.0
100057,14041.0,0.07,0.0
100058,14000.0,0.07,0.0
100059,13999.0,0.07,0.0
100060,13989.0,0.07,2392.0
100061,13821.0,0.07,0.0
100062,13480.0,0.06,30.0
100063,13308.0,0.06,0.0
100064,13262.0,0.06,0.0
100065,13144.0,0.06,750.0
100066,13048.0,0.06,2540.0
100067,13003.0,0.06,0.0
100068,12267.0,0.06,790.0
100069,12267.0,0.06,0.0
100070,12240.0,0.06,0.0
100071,11534.0,0.05,0.0
100072,11400.0,0.05,0.0
100073,11347.0,0.05,0.0
100074,11345.0,0.05,0.0
100075,11091.0,0.05,-416.0
100076,11025.0,0.05,0.0
100077,10948.0,0.05,600.0
100078,10935.0,0.05,43.0
100079,10858.0,0.05,0.0
100080,10771.0,0.05,0.0
100081,10599.0,0.05,0.0
100082,10500.0,0.05,0.0
100083,10340.0,0.05,0.0
100084,10160.0,0.05,0.0
100085,10012.0,0.05,0.0
100086,10009.0,0.05,0.0
100087,10002.0,0.05,0.0
100088,10001.0,0.05,0.0
100089,10000.0,0.05,0.0
100090,10000.0,0.05,0.0
100091,10000.0,0.05,0.0
100092,10000.0,0.05,0.0
100093,10000.0,0.05,0.0
100094,10000.0,0.05,0.0
100095,10000.0,0.05,0.0
100096,10000.0,0.05,0.0
100097,10000.0,0.05,0.0
100098,10000.0,0.05,0.0
100099,10000.0,0.05,0.0
100100,10000.0,0.05,0.0
100101,18027687.0,14.97,169296.0
100102,3793950.0,3.15,23699.0
100103,1996008.0,1.66,0.0
100103,1996008.0,1.66,0.0
100104,1780840.0,1.48,0.0
100105,1636037.0,1.36,0.0
100106,1081941.0,0.9,8377.0
100107,1047741.0,0.87,0.0
100107,1047741.0,0.87,0.0
100107,1047741.0,0.87,0.0
100108,602032.0,0.5,49660.0
100108,602032.0,0.5,49660.0
100108,602032.0,0.5,49660.0
100108,602032.0,0.5,49660.0
100109,584999.0,0.49,0.0
100109,584999.0,0.49,0.0
100109,584999.0,0.49,0.0
100110,464447.0,0.39,-6072.0
100111,450118.0,0.37,0.0
