ticker_name,ticker_url,exchange_name,exchange_token_balance (cryptocurrency),exchange_value,selection1 (cryptocurrency),seven_day_change (cryptocurrency),three_day_change (cryptocurrency)
BTC,https://www.coincarp.com/currencies/bitcoin/,Binance,421388.0,"$12,835,455,120 ",-7270.97,4391.07,51783.36
BTC,https://www.coincarp.com/currencies/bitcoin/,Bitfinex,200979.0,"$6,121,802,409 ",-587.35,6746.14,7061.8
BTC,https://www.coincarp.com/currencies/bitcoin/,OKX(OKEx),197720.0,"$6,022,552,347 ",1308.95,-9630.41,-38164.24
BTC,https://www.coincarp.com/currencies/bitcoin/,Coincheck,39552.65,"$1,204,769,110 ",-97.58,-297.11,-441.09
BTC,https://www.coincarp.com/currencies/bitcoin/,Crypto.com Exchange,30279.07,"$922,297,004 ",-157.83,242.44,-11857.04
BTC,https://www.coincarp.com/currencies/bitcoin/,Bybit,27020.73,"$823,048,245 ",268.7,-694.24,-305.27
BTC,https://www.coincarp.com/currencies/bitcoin/,Bittrex,21405.4,"$652,005,934 ",-370.4,-1315.02,-4382.16
BTC,https://www.coincarp.com/currencies/bitcoin/,Huobi Global,17128.06,"$521,718,926 ",0.0,-0.019,-139.57
BTC,https://www.coincarp.com/currencies/bitcoin/,Poloniex,17125.12,"$521,629,124 ",-27.5,-57.29,93.69
BTC,https://www.coincarp.com/currencies/bitcoin/,KuCoin,14684.44,"$447,286,567 ",-460.23,-783.13,-517.71
BTC,https://www.coincarp.com/currencies/bitcoin/,BitMEX,14143.12,"$430,797,866 ",0.0,0.0,0.0
BTC,https://www.coincarp.com/currencies/bitcoin/,Bitget,8465.77,"$257,866,465 ",121.84,219.58,0.0
BTC,https://www.coincarp.com/currencies/bitcoin/,Kraken,7576.53,"$230,780,394 ",189.22,356.74,1400.54
BTC,https://www.coincarp.com/currencies/bitcoin/,Korbit,5960.15,"$181,545,623 ",0.0,0.0,0.0
BTC,https://www.coincarp.com/currencies/bitcoin/,BigONE,3377.58,"$102,880,904 ",-122.69,-120.01,-229.75
BTC,https://www.coincarp.com/currencies/bitcoin/,MEXC Global,2070.22,"$63,058,893 ",0.0,38.47,152.09
BTC,https://www.coincarp.com/currencies/bitcoin/,Phemex,1750.02,"$53,305,399 ",0.0,0.0,-200.0
BTC,https://www.coincarp.com/currencies/bitcoin/,CoinSwitch,1419.32,"$43,232,480 ",2.0,-15.0,-42.55
BTC,https://www.coincarp.com/currencies/bitcoin/,Jubi,720.32,"$21,941,076 ",0.0,0.0,0.0
BTC,https://www.coincarp.com/currencies/bitcoin/,Bitstamp,527.03,"$16,053,301 ",0.0,0.0,-1513.0
BTC,https://www.coincarp.com/currencies/bitcoin/,BitZ,300.0,"$9,138,257 ",0.0,0.0,0.0
BTC,https://www.coincarp.com/currencies/bitcoin/,CITEX,69.25,"$2,109,513 ",0.0,0.0,0.0
BTC,https://www.coincarp.com/currencies/bitcoin/,XT,16.85,"$513,435 ",-2.931,-2.888,1.843
BTC,https://www.coincarp.com/currencies/bitcoin/,WOO X,9.514,"$289,808 ",0.0,0.0,0.0
BTC,https://www.coincarp.com/currencies/bitcoin/,Coinw,4.82,"$146,823 ",0.0,0.0,0.0
BTC,https://www.coincarp.com/currencies/bitcoin/,ZG.com,0.05544,"$1,688.62 ",0.0,0.0,0.0
BTC,https://www.coincarp.com/currencies/bitcoin/,Coinbase Pro,0.01396,$425.33 ,0.0,0.0,0.0
BTC,https://www.coincarp.com/currencies/bitcoin/,Klickl(IDCM),0.001937,$59 ,0.0,0.0,0.0
BTC,https://www.coincarp.com/currencies/bitcoin/,AEX,0.0,$0 ,0.0,0.0,0.0
BTC,https://www.coincarp.com/currencies/bitcoin/,BKEX,0.0,$0 ,0.0,0.0,0.0
ETH,https://www.coincarp.com/currencies/ethereum/,Binance,4651380.0,"$9,801,389,298 ",56465.48,31737.1,294804.0
ETH,https://www.coincarp.com/currencies/ethereum/,Kraken,1827423.0,"$3,850,745,870 ",2867.41,11420.78,-46919.99
ETH,https://www.coincarp.com/currencies/ethereum/,OKX(OKEx),1221581.0,"$2,574,116,023 ",8749.74,-3964.91,13811.48
ETH,https://www.coincarp.com/currencies/ethereum/,Bitfinex,1212175.0,"$2,554,296,585 ",-35263.19,-41692.02,41425.34
ETH,https://www.coincarp.com/currencies/ethereum/,Gemini,424635.0,"$894,792,355 ",2220.77,-634.29,-47235.8
ETH,https://www.coincarp.com/currencies/ethereum/,Crypto.com Exchange,289838.0,"$610,748,439 ",344.38,-6780.77,-226741.0
ETH,https://www.coincarp.com/currencies/ethereum/,Bithumb,200014.0,"$421,470,303 ",0.0,0.0,-3.001
ETH,https://www.coincarp.com/currencies/ethereum/,Bybit,166788.0,"$351,456,590 ",6267.91,12623.13,6318.45
ETH,https://www.coincarp.com/currencies/ethereum/,gate.io,154253.0,"$325,042,414 ",-1717.14,-5651.11,-15478.19
ETH,https://www.coincarp.com/currencies/ethereum/,KuCoin,148820.0,"$313,594,384 ",1176.81,258.0,681.08
ETH,https://www.coincarp.com/currencies/ethereum/,Bittrex,124955.0,"$263,306,087 ",-3454.61,-11389.08,-24936.16
ETH,https://www.coincarp.com/currencies/ethereum/,Coinone,91002.94,"$191,761,403 ",-982.65,-1642.98,-2158.76
ETH,https://www.coincarp.com/currencies/ethereum/,Huobi Global,86417.9,"$182,099,812 ",-7.498,-23.34,-10313.52
ETH,https://www.coincarp.com/currencies/ethereum/,bitFlyer,74321.63,"$156,610,548 ",-1105.0,-860.0,-5355.0
ETH,https://www.coincarp.com/currencies/ethereum/,Binance.US,72064.22,"$151,853,730 ",-376.59,-176.18,-1771.82
ETH,https://www.coincarp.com/currencies/ethereum/,Korbit,57516.63,"$121,199,045 ",-650.38,-662.78,-2033.25
ETH,https://www.coincarp.com/currencies/ethereum/,Luno,29610.77,"$62,395,816 ",1259.48,274.63,-2117.93
ETH,https://www.coincarp.com/currencies/ethereum/,IDEX,17137.03,"$36,111,155 ",-1.513,-1.887,-10.32
ETH,https://www.coincarp.com/currencies/ethereum/,Bitget,15554.5,"$32,776,449 ",100.12,655.19,1118.44
ETH,https://www.coincarp.com/currencies/ethereum/,Coinbase Pro,15085.56,"$31,788,305 ",-9588.24,-9932.91,1740.61
ETH,https://www.coincarp.com/currencies/ethereum/,Curve,14392.89,"$30,328,701 ",-30.44,-776.11,-1103.19
ETH,https://www.coincarp.com/currencies/ethereum/,BitMEX,13055.71,"$27,511,006 ",382.42,752.84,253.72
ETH,https://www.coincarp.com/currencies/ethereum/,MEXC Global,13000.79,"$27,395,283 ",-196.09,675.08,-1254.47
ETH,https://www.coincarp.com/currencies/ethereum/,Poloniex,11012.88,"$23,206,341 ",-454.27,-391.09,-3411.39
ETH,https://www.coincarp.com/currencies/ethereum/,YoBit,10025.23,"$21,125,179 ",-128.87,-60.34,1996.99
ETH,https://www.coincarp.com/currencies/ethereum/,BitZ,10001.08,"$21,074,288 ",0.0,0.0,0.0
ETH,https://www.coincarp.com/currencies/ethereum/,CoinSwitch,8923.86,"$18,804,370 ",-12.24,-12.27,-68.07
ETH,https://www.coincarp.com/currencies/ethereum/,Indodax,5729.62,"$12,073,465 ",-353.57,-354.67,-1137.4
ETH,https://www.coincarp.com/currencies/ethereum/,Phemex,5572.6,"$11,742,591 ",0.0,0.0,3499.99
ETH,https://www.coincarp.com/currencies/ethereum/,BigONE,4046.57,"$8,526,950 ",-1.481,-432.13,-808.33
USDT,https://www.coincarp.com/currencies/tether/,Binance,2703092503.0,"$2,704,173,740 ",-103723060.0,185334388.0,14742633.0
USDT,https://www.coincarp.com/currencies/tether/,OKX(OKEx),1584032065.0,"$1,584,665,678 ",21313474.0,121750683.0,726522161.0
