ticker_name,ticker_url,ticker_exchange_name,ticker_exchange_tokenbalance,ticker_exchange_value,ticker_exchange_selection1,ticker_exchange_sevendaychange,ticker_exchange_threedaychange
1 BTC,https://www.coincarp.com/currencies/bitcoin/,Binance,"421,388 BTC","$12,835,455,120 ","-7,270.97 BTC","+4,391.07 BTC","+51,783.36 BTC"
1 BTC,https://www.coincarp.com/currencies/bitcoin/,Bitfinex,"200,979 BTC","$6,121,802,409 ",-587.35 BTC,"+6,746.14 BTC","+7,061.8 BTC"
1 BTC,https://www.coincarp.com/currencies/bitcoin/,OKX(OKEx),"197,720 BTC","$6,022,552,347 ","+1,308.95 BTC","-9,630.41 BTC","-38,164.24 BTC"
1 BTC,https://www.coincarp.com/currencies/bitcoin/,Coincheck,"39,552.65 BTC","$1,204,769,110 ",-97.58 BTC,-297.11 BTC,-441.09 BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,Crypto.com Exchange,"30,279.07 BTC","$922,297,004 ",-157.83 BTC,+242.44 BTC,"-11,857.04 BTC"
1 BTC,https://www.coincarp.com/currencies/bitcoin/,Bybit,"27,020.73 BTC","$823,048,245 ",+268.7 BTC,-694.24 BTC,-305.27 BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,Bittrex,"21,405.4 BTC","$652,005,934 ",-370.4 BTC,"-1,315.02 BTC","-4,382.16 BTC"
1 BTC,https://www.coincarp.com/currencies/bitcoin/,Huobi Global,"17,128.06 BTC","$521,718,926 ",0 BTC,-0.019 BTC,-139.57 BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,Poloniex,"17,125.12 BTC","$521,629,124 ",-27.5 BTC,-57.29 BTC,+93.69 BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,KuCoin,"14,684.44 BTC","$447,286,567 ",-460.23 BTC,-783.13 BTC,-517.71 BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,BitMEX,"14,143.12 BTC","$430,797,866 ",0 BTC,BTC,BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,Bitget,"8,465.77 BTC","$257,866,465 ",+121.84 BTC,+219.58 BTC,BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,Kraken,"7,576.53 BTC","$230,780,394 ",+189.22 BTC,+356.74 BTC,"+1,400.54 BTC"
1 BTC,https://www.coincarp.com/currencies/bitcoin/,Korbit,"5,960.15 BTC","$181,545,623 ",0 BTC,BTC,BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,BigONE,"3,377.58 BTC","$102,880,904 ",-122.69 BTC,-120.01 BTC,-229.75 BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,MEXC Global,"2,070.22 BTC","$63,058,893 ",0 BTC,+38.47 BTC,+152.09 BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,Phemex,"1,750.02 BTC","$53,305,399 ",0 BTC,BTC,-200 BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,CoinSwitch,"1,419.32 BTC","$43,232,480 ",+2 BTC,-15 BTC,-42.55 BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,Jubi,720.32 BTC,"$21,941,076 ",0 BTC,BTC,BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,Bitstamp,527.03 BTC,"$16,053,301 ",0 BTC,BTC,"-1,513 BTC"
1 BTC,https://www.coincarp.com/currencies/bitcoin/,BitZ,300 BTC,"$9,138,257 ",0 BTC,BTC,BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,CITEX,69.25 BTC,"$2,109,513 ",0 BTC,BTC,BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,XT,16.85 BTC,"$513,435 ",-2.931 BTC,-2.888 BTC,+1.843 BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,WOO X,9.514 BTC,"$289,808 ",0 BTC,BTC,--
1 BTC,https://www.coincarp.com/currencies/bitcoin/,Coinw,4.82 BTC,"$146,823 ",0 BTC,BTC,BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,ZG.com,0.05544 BTC,"$1,688.62 ",0 BTC,BTC,BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,Coinbase Pro,0.01396 BTC,$425.33 ,0 BTC,BTC,BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,Klickl(IDCM),0.001937 BTC,$59 ,0 BTC,BTC,BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,AEX,0 BTC,$0 ,0 BTC,BTC,BTC
1 BTC,https://www.coincarp.com/currencies/bitcoin/,BKEX,0 BTC,$0 ,0 BTC,BTC,BTC
2 ETH,https://www.coincarp.com/currencies/ethereum/,Binance,"4,651,380 ETH","$9,801,389,298 ","+56,465.48 ETH","+31,737.1 ETH","+294,804 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,Kraken,"1,827,423 ETH","$3,850,745,870 ","+2,867.41 ETH","+11,420.78 ETH","-46,919.99 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,OKX(OKEx),"1,221,581 ETH","$2,574,116,023 ","+8,749.74 ETH","-3,964.91 ETH","+13,811.48 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,Bitfinex,"1,212,175 ETH","$2,554,296,585 ","-35,263.19 ETH","-41,692.02 ETH","+41,425.34 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,Gemini,"424,635 ETH","$894,792,355 ","+2,220.77 ETH",-634.29 ETH,"-47,235.8 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,Crypto.com Exchange,"289,838 ETH","$610,748,439 ",+344.38 ETH,"-6,780.77 ETH","-226,741 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,Bithumb,"200,014 ETH","$421,470,303 ",0 ETH,ETH,-3.001 ETH
2 ETH,https://www.coincarp.com/currencies/ethereum/,Bybit,"166,788 ETH","$351,456,590 ","+6,267.91 ETH","+12,623.13 ETH","+6,318.45 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,gate.io,"154,253 ETH","$325,042,414 ","-1,717.14 ETH","-5,651.11 ETH","-15,478.19 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,KuCoin,"148,820 ETH","$313,594,384 ","+1,176.81 ETH",+258 ETH,+681.08 ETH
2 ETH,https://www.coincarp.com/currencies/ethereum/,Bittrex,"124,955 ETH","$263,306,087 ","-3,454.61 ETH","-11,389.08 ETH","-24,936.16 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,Coinone,"91,002.94 ETH","$191,761,403 ",-982.65 ETH,"-1,642.98 ETH","-2,158.76 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,Huobi Global,"86,417.9 ETH","$182,099,812 ",-7.498 ETH,-23.34 ETH,"-10,313.52 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,bitFlyer,"74,321.63 ETH","$156,610,548 ","-1,105 ETH",-860 ETH,"-5,355 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,Binance.US,"72,064.22 ETH","$151,853,730 ",-376.59 ETH,-176.18 ETH,"-1,771.82 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,Korbit,"57,516.63 ETH","$121,199,045 ",-650.38 ETH,-662.78 ETH,"-2,033.25 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,Luno,"29,610.77 ETH","$62,395,816 ","+1,259.48 ETH",+274.63 ETH,"-2,117.93 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,IDEX,"17,137.03 ETH","$36,111,155 ",-1.513 ETH,-1.887 ETH,-10.32 ETH
2 ETH,https://www.coincarp.com/currencies/ethereum/,Bitget,"15,554.5 ETH","$32,776,449 ",+100.12 ETH,+655.19 ETH,"+1,118.44 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,Coinbase Pro,"15,085.56 ETH","$31,788,305 ","-9,588.24 ETH","-9,932.91 ETH","+1,740.61 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,Curve,"14,392.89 ETH","$30,328,701 ",-30.44 ETH,-776.11 ETH,"-1,103.19 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,BitMEX,"13,055.71 ETH","$27,511,006 ",+382.42 ETH,+752.84 ETH,+253.72 ETH
2 ETH,https://www.coincarp.com/currencies/ethereum/,MEXC Global,"13,000.79 ETH","$27,395,283 ",-196.09 ETH,+675.08 ETH,"-1,254.47 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,Poloniex,"11,012.88 ETH","$23,206,341 ",-454.27 ETH,-391.09 ETH,"-3,411.39 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,YoBit,"10,025.23 ETH","$21,125,179 ",-128.87 ETH,-60.34 ETH,"+1,996.99 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,BitZ,"10,001.08 ETH","$21,074,288 ",0 ETH,ETH,ETH
2 ETH,https://www.coincarp.com/currencies/ethereum/,CoinSwitch,"8,923.86 ETH","$18,804,370 ",-12.24 ETH,-12.27 ETH,-68.07 ETH
2 ETH,https://www.coincarp.com/currencies/ethereum/,Indodax,"5,729.62 ETH","$12,073,465 ",-353.57 ETH,-354.67 ETH,"-1,137.4 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,Phemex,"5,572.6 ETH","$11,742,591 ",0 ETH,ETH,"+3,499.99 ETH"
2 ETH,https://www.coincarp.com/currencies/ethereum/,BigONE,"4,046.57 ETH","$8,526,950 ",-1.481 ETH,-432.13 ETH,-808.33 ETH
