rank,ticker,wallet_id,currency_quantity (cryptocurrency),fraction_of_total (%),seven_day_change (cryptocurrency)
1,BTC,34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,248597.0,1.18,0.0
1,BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,178010.0,0.85,-20000.0
1,BTC,3JJmF63ifcamPLiAmLgG96RA599yNtY3EQ,127351.0,0.61,0.0
1,BTC,1LQoWist8KkaUXSPKZHNvEyfrEkPHzSsCd,119347.0,0.57,0.0
1,BTC,bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt,94643.0,0.45,0.0
1,BTC,37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs,94505.0,0.45,0.0
1,BTC,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,79957.0,0.38,0.0
1,BTC,bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6,69370.0,0.33,0.0
1,BTC,3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,68200.0,0.32,0.0
1,BTC,bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,59300.0,0.28,0.0
1,BTC,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,55863.0,0.27,1379.0
1,BTC,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,53880.0,0.26,0.0
1,BTC,bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc27a4,53492.0,0.25,15915.0
1,BTC,1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA,51830.0,0.25,0.0
1,BTC,1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os,44000.0,0.21,0.0
1,BTC,3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,40141.0,0.19,0.0
1,BTC,3LCGsSmfr24demGvriN4e3ft8wEcDuHFqh,39834.0,0.19,-45.0
1,BTC,3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a,37927.0,0.18,0.0
1,BTC,bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkug,36000.0,0.17,0.0
1,BTC,bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40,33218.0,0.16,0.0
1,BTC,12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8Fx,32321.0,0.15,0.0
1,BTC,bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4,31643.0,0.15,0.0
1,BTC,3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B,31275.0,0.15,0.0
1,BTC,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,31067.0,0.15,0.0
1,BTC,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,31000.0,0.15,0.0
1,BTC,bc1qf2yvj48mzkj7uf8lc2a9sa7w983qe256l5c8fs,30175.0,0.14,0.0
1,BTC,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,28151.0,0.13,0.0
1,BTC,1aXzEKiDJKzkPxTZy9zGc3y1nCDwDPub2,25640.0,0.12,0.0
1,BTC,17MWdxfjPYP2PYhdy885QtihfbW181r1rn,24495.0,0.12,0.0
1,BTC,bc1qjysjfd9t9aspttpjqzv68k0ydpe7pvyd5vlyn37868473lell5tqkz456m,24043.0,0.11,0.0
1,BTC,19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C,23969.0,0.11,0.0
1,BTC,3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnE,23214.0,0.11,318.0
1,BTC,19N9sDbJ7MDQcPFSjPNqjNDzyRNbNsQ6Zv,22934.0,0.11,0.0
1,BTC,1932eKraQ3Ad9MeNBHb14WFQbNrLaKeEpT,22900.0,0.11,0.0
1,BTC,bc1qcdeadk07jkthules0yw9u9ue9pklvr608ez94jgwcf7h2ldzcg6qwxp9er,21042.0,0.1,0.0
1,BTC,bc1quhruqrghgcca950rvhtrg7cpd7u8k6svpzgzmrjy8xyukacl5lkq0r8l2d,20521.0,0.1,-535.0
1,BTC,1m5SViB9XNwsusvnnUqpfL9Q1E5EZxPHs,20480.0,0.1,0.0
1,BTC,3LoAAJN3tbMCEXWjGNeiyG2TtzLJYXcG5R,20061.0,0.1,-1.0
1,BTC,17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,20008.0,0.1,0.0
1,BTC,15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxv,19950.0,0.1,0.0
1,BTC,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,19414.0,0.09,0.0
1,BTC,1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP,19119.0,0.09,529.0
1,BTC,bc1qyg4z96sy84594r4a28mc8esdkkuj4dq08jmtt5,19035.0,0.09,0.0
1,BTC,bc1qkz55x35wlnrkrn5n0nq4wwsme9vszrwavu5qf4,18500.0,0.09,0.0
